school,year,title,imageUrl,sourceUrl
"同济大学","2026","同济大学2026年全国硕士研究生招生考试考生进入复试的初试成绩基本要求","https://t3.chei.com.cn/news/img/2293450401.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293450397.html"
"武汉大学","2026","武汉大学2026年硕士研究生招生考试复试基本分数线","https://t4.chei.com.cn/news/img/2293451722.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451720.html"
"武汉大学","2026","武汉大学2026年硕士研究生招生考试复试基本分数线","https://t1.chei.com.cn/news/img/2293451723.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451720.html"
"武汉大学","2026","武汉大学2026年硕士研究生招生考试复试基本分数线","https://t1.chei.com.cn/news/img/2293451724.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451720.html"
"武汉大学","2026","武汉大学2026年硕士研究生招生考试复试基本分数线","https://t2.chei.com.cn/news/img/2293451725.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451720.html"
"武汉大学","2026","武汉大学2026年硕士研究生招生考试复试基本分数线","https://t2.chei.com.cn/news/img/2293451726.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451720.html"
"武汉大学","2026","武汉大学2026年硕士研究生招生考试复试基本分数线","https://t1.chei.com.cn/news/img/2293451727.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451720.html"
"武汉大学","2026","武汉大学2026年硕士研究生招生考试复试基本分数线","https://t2.chei.com.cn/news/img/2293451728.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451720.html"
"重庆大学","2026","重庆大学2026年硕士研究生招生考试初试合格基本分数线","https://t3.chei.com.cn/news/img/2293451718.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451717.html"
"电子科技大学","2026","2026年电子科技大学全国硕士研究生招生考试初试成绩基本要求","https://t3.chei.com.cn/news/img/2293451715.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451714.html"
"电子科技大学","2026","2026年电子科技大学全国硕士研究生招生考试初试成绩基本要求","https://t3.chei.com.cn/news/img/2293451716.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451714.html"
"东南大学","2026","东南大学2026年硕士研究生复试基本线","https://t3.chei.com.cn/news/img/2293451709.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451708.html"
"东南大学","2026","东南大学2026年硕士研究生复试基本线","https://t3.chei.com.cn/news/img/2293451710.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451708.html"
"东南大学","2026","东南大学2026年硕士研究生复试基本线","https://t1.chei.com.cn/news/img/2293451711.png","https://yz.chsi.com.cn/kyzx/fsfsx34/202603/20260316/2293451708.html"
